Name,Template,Reference
1d-interleaved-parityfec,application/1d-interleaved-parityfec,[RFC6015]
3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,[_3GPP][Ozgur_Oyman]
3gpp-ims+xml,application/3gpp-ims+xml,[John_M_Meredith]
A2L,application/A2L,[ASAM][Thomas_Thomsen]
activemessage,application/activemessage,[Ehud_Shapiro]
activemessage,application/activemessage,[Ehud_Shapiro]
activity+json,application/activity+json,[W3C][Benjamin_Goering]
alto-costmap+json,application/alto-costmap+json,[RFC7285]
alto-costmapfilter+json,application/alto-costmapfilter+json,[RFC7285]
alto-directory+json,application/alto-directory+json,[RFC7285]
alto-endpointprop+json,application/alto-endpointprop+json,[RFC7285]
alto-endpointpropparams+json,application/alto-endpointpropparams+json,[RFC7285]
alto-endpointcost+json,application/alto-endpointcost+json,[RFC7285]
alto-endpointcostparams+json,application/alto-endpointcostparams+json,[RFC7285]
alto-error+json,application/alto-error+json,[RFC7285]
alto-networkmapfilter+json,application/alto-networkmapfilter+json,[RFC7285]
alto-networkmap+json,application/alto-networkmap+json,[RFC7285]
AML,application/AML,[ASAM][Thomas_Thomsen]
andrew-inset,application/andrew-inset,[Nathaniel_Borenstein]
applefile,application/applefile,[Patrik_Faltstrom]
ATF,application/ATF,[ASAM][Thomas_Thomsen]
ATFX,application/ATFX,[ASAM][Thomas_Thomsen]
atom+xml,application/atom+xml,[RFC4287][RFC5023]
atomcat+xml,application/atomcat+xml,[RFC5023]
atomdeleted+xml,application/atomdeleted+xml,[RFC6721]
atomicmail,application/atomicmail,[Nathaniel_Borenstein]
atomsvc+xml,application/atomsvc+xml,[RFC5023]
ATXML,application/ATXML,[ASAM][Thomas_Thomsen]
auth-policy+xml,application/auth-policy+xml,[RFC4745]
bacnet-xdd+zip,application/bacnet-xdd+zip,[ASHRAE][Dave_Robin]
batch-SMTP,application/batch-SMTP,[RFC2442]
beep+xml,application/beep+xml,[RFC3080]
calendar+json,application/calendar+json,[RFC7265]
calendar+xml,application/calendar+xml,[RFC6321]
call-completion,application/call-completion,[RFC6910]
CALS-1840,application/CALS-1840,[RFC1895]
cbor,application/cbor,[RFC7049]
